sales_price,property_class,month,day,neighborhood
227500,Dwelling,11,8,Pleasant Valley
415000,Dwelling,11,8,Peaceful Glen
75000,Commercial,11,8,Serene Creek
340000,Dwelling,11,8,Pleasant Valley
324000,Dwelling,11,8,Quiet Hill
525000,Dwelling,11,7,Peaceful Glen
325000,Dwelling,11,6,Pleasant Valley
400000,Dwelling,11,6,Pleasant Valley
309500,Dwelling,11,6,Serene Creek
330000,Dwelling,11,6,Serene Creek
264900,Dwelling,11,6,Peaceful Glen
295000,Dwelling,11,6,Pleasant Valley
297079,Dwelling,11,5,Peaceful Glen
278000,Dwelling,11,5,Quiet Hill
298000,Dwelling,11,5,Peaceful Glen
334000,Dwelling,11,5,Serene Creek
325000,Dwelling,11,5,Pleasant Valley
39000,Mobile Home,11,4,Quiet Hill
543000,Dwelling,11,2,Pleasant Valley
59500,Mobile Home,11,2,Pleasant Valley
557000,Dwelling,11,1,Peaceful Glen
383000,Dwelling,11,1,Pleasant Valley
535500,Dwelling,11,1,Pleasant Valley
8800,Mobile Home,11,1,Serene Creek
12000,Mobile Home,11,1,Serene Creek
135000,Dwelling,10,31,Quiet Hill
349900,Dwelling,10,31,Pleasant Valley
434500,Dwelling,10,31,Pleasant Valley
444000,Dwelling,10,31,Pleasant Valley
270000,Dwelling,10,31,Pleasant Valley
525000,Dwelling,10,31,Pleasant Valley
265000,Dwelling,10,31,Serene Creek
250000,Dwelling,10,31,Pleasant Valley
477500,Dwelling,10,31,Peaceful Glen
405000,Dwelling,10,31,Serene Creek
200000,Dwelling,10,31,Peaceful Glen
487000,Dwelling,10,31,Quiet Hill
260000,Dwelling,10,31,Serene Creek
259000,Dwelling,10,31,Pleasant Valley
342000,Dwelling,10,31,Pleasant Valley
176220,Dwelling,10,30,Pleasant Valley
360000,Dwelling,10,30,Peaceful Glen
335000,Dwelling,10,30,Pleasant Valley
315000,Dwelling,10,30,Peaceful Glen
309500,Dwelling,10,30,Quiet Hill
390000,Commercial,10,29,Pleasant Valley
200000,Dwelling,10,29,Pleasant Valley
281000,Dwelling,10,29,Pleasant Valley
274500,Dwelling,10,29,Peaceful Glen
178900,Dwelling,10,29,Pleasant Valley
417900,Dwelling,10,29,Quiet Hill
237500,Dwelling,10,29,Peaceful Glen
225000,Dwelling,10,29,Peaceful Glen
326901,Dwelling,10,26,Pleasant Valley
250000,Dwelling,10,26,Serene Creek
377000,Dwelling,10,26,Peaceful Glen
260000,Dwelling,10,26,Peaceful Glen
189900,Dwelling,10,26,Serene Creek
37000,Mobile Home,10,26,Pleasant Valley
675000,Dwelling,10,25,Pleasant Valley
268900,Dwelling,10,25,Pleasant Valley
334900,Dwelling,10,25,Peaceful Glen
426000,Dwelling,10,25,Serene Creek
305000,Dwelling,10,24,Pleasant Valley
329185,Dwelling,10,24,Pleasant Valley
415840,Dwelling,10,24,Pleasant Valley
362500,Dwelling,10,24,Serene Creek
315000,Dwelling,10,24,Serene Creek
330000,Dwelling,10,24,Serene Creek
410000,Dwelling,10,24,Pleasant Valley
362000,Dwelling,10,22,Pleasant Valley
425000,Commercial,10,22,Serene Creek
593400,Dwelling,10,22,Peaceful Glen
340000,Dwelling,10,22,Pleasant Valley
438000,Dwelling,10,22,Pleasant Valley
565000,Dwelling,10,19,Peaceful Glen
451500,Dwelling,10,19,Peaceful Glen
145000,Dwelling,10,19,Quiet Hill
409900,Dwelling,10,19,Peaceful Glen
460000,Dwelling,10,19,Pleasant Valley
345500,Dwelling,10,19,Pleasant Valley
360000,Dwelling,10,19,Quiet Hill
275000,Dwelling,10,18,Pleasant Valley
450000,Dwelling,10,18,Pleasant Valley
350000,Dwelling,10,18,Peaceful Glen
3400000,Commercial,10,18,Pleasant Valley
3400000,Commercial,10,18,Pleasant Valley
375000,Dwelling,10,17,Peaceful Glen
520000,Dwelling,10,17,Peaceful Glen
460000,Dwelling,10,17,Pleasant Valley
940250,Commercial,10,17,Pleasant Valley
420000,Dwelling,10,16,Pleasant Valley
415000,Dwelling,10,16,Peaceful Glen
105000,Dwelling,10,16,Quiet Hill
218000,Dwelling,10,15,Quiet Hill
582500,Dwelling,10,15,Serene Creek
582500,Dwelling,10,15,Serene Creek
307000,Dwelling,10,15,Serene Creek
280000,Dwelling,10,15,Pleasant Valley
15000,Mobile Home,10,15,Serene Creek
415000,Dwelling,10,12,Peaceful Glen
309000,Dwelling,10,12,Pleasant Valley
347000,Dwelling,10,12,Peaceful Glen
430000,Dwelling,10,12,Pleasant Valley
310000,Dwelling,10,11,Pleasant Valley
205000,Dwelling,10,11,Serene Creek
321000,Dwelling,10,10,Pleasant Valley
331700,Dwelling,10,10,Pleasant Valley
270500,Dwelling,10,9,Pleasant Valley
290000,Dwelling,10,9,Serene Creek
70000,Dwelling,10,9,Peaceful Glen
286500,Dwelling,10,9,Serene Creek
15000,Mobile Home,10,8,Pleasant Valley
10000,Mobile Home,10,8,Pleasant Valley
465000,Dwelling,10,5,Pleasant Valley
327500,Dwelling,10,5,Peaceful Glen
136000,Dwelling,10,5,Peaceful Glen
514900,Dwelling,10,5,Pleasant Valley
325000,Dwelling,10,5,Peaceful Glen
160000,Dwelling,10,5,Quiet Hill
510000,Dwelling,10,5,Peaceful Glen
100000,Dwelling,10,4,Serene Creek
300000,Dwelling,10,4,Serene Creek
549900,Dwelling,10,3,Pleasant Valley
386062,Dwelling,10,3,Serene Creek
125000,Mobile Home,10,3,Pleasant Valley
65000,Mobile Home,10,3,Quiet Hill
65000,Mobile Home,10,3,Quiet Hill
515000,Dwelling,10,2,Quiet Hill
569000,Dwelling,10,2,Serene Creek
425000,Dwelling,10,2,Pleasant Valley
363000,Dwelling,10,2,Pleasant Valley
335000,Dwelling,10,2,Peaceful Glen
810000,Dwelling,10,2,Peaceful Glen
211500,Dwelling,10,2,Serene Creek
1450000,Commercial,10,2,Serene Creek
627000,Dwelling,10,1,Pleasant Valley
381000,Dwelling,10,1,Pleasant Valley
733000,Dwelling,10,1,Serene Creek
330000,Dwelling,10,1,Quiet Hill
268500,Dwelling,10,1,Peaceful Glen
350000,Commercial,9,28,Serene Creek
440000,Dwelling,9,28,Pleasant Valley
435000,Dwelling,9,28,Pleasant Valley
310000,Dwelling,9,28,Pleasant Valley
417500,Dwelling,9,28,Pleasant Valley
120863,Dwelling,9,28,Pleasant Valley
320000,Dwelling,9,28,Pleasant Valley
520000,Dwelling,9,28,Pleasant Valley
440000,Dwelling,9,28,Serene Creek
259900,Dwelling,9,28,Pleasant Valley
510200,Dwelling,9,28,Pleasant Valley
328000,Dwelling,9,28,Pleasant Valley
8000,Mobile Home,9,28,Serene Creek
358000,Dwelling,9,27,Pleasant Valley
380000,Dwelling,9,27,Pleasant Valley
285000,Dwelling,9,27,Serene Creek
375474,Dwelling,9,27,Serene Creek
222000,Dwelling,9,27,Pleasant Valley
395000,Dwelling,9,27,Pleasant Valley
356000,Dwelling,9,27,Serene Creek
55860,Dwelling,9,26,Pleasant Valley
699500,Dwelling,9,26,Peaceful Glen
372000,Dwelling,9,26,Pleasant Valley
285000,Dwelling,9,26,Pleasant Valley
375000,Dwelling,9,26,Pleasant Valley
182500,Mobile Home,9,26,Quiet Hill
463500,Dwelling,9,26,Pleasant Valley
300000,Dwelling,9,26,Quiet Hill
226000,Dwelling,9,25,Pleasant Valley
455000,Dwelling,9,25,Peaceful Glen
335000,Dwelling,9,25,Pleasant Valley
289000,Dwelling,9,25,Peaceful Glen
250000,Dwelling,9,25,Peaceful Glen
584900,Dwelling,9,24,Pleasant Valley
252500,Dwelling,9,24,Pleasant Valley
60000,Dwelling,9,24,Peaceful Glen
454450,Dwelling,9,21,Peaceful Glen
399000,Dwelling,9,21,Serene Creek
319000,Dwelling,9,21,Peaceful Glen
209000,Dwelling,9,21,Pleasant Valley
212000,Dwelling,9,20,Serene Creek
296000,Dwelling,9,20,Pleasant Valley
325000,Dwelling,9,20,Pleasant Valley
350000,Dwelling,9,20,Pleasant Valley
280000,Dwelling,9,20,Pleasant Valley
558825,Dwelling,9,19,Pleasant Valley
385240,Dwelling,9,19,Pleasant Valley
320000,Dwelling,9,19,Serene Creek
421000,Dwelling,9,18,Pleasant Valley
204000,Dwelling,9,18,Pleasant Valley
